bra,agi,Tair10_desc
BraA09g31860R,AT1G31770,ABC transporter family protein
BraA09g31850R,NA,NA
BraA09g31840R,NS,NA
BraA09g31830R,AT1G31780,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Conserved oligomeric complex COG6 (InterPro:IPR010490); Has 281 Blast hits to 279 proteins in 131 species: Archae - 0; Bacteria - 2; Metazoa - 132; Fungi - 106; Plants - 21; Viruses - 0; Other Eukaryotes - 20 (source: NCBI BLink).
BraA09g31820R,NS,NA
BraA09g31810R,AT1G31810,actin binding
BraA09g31800R,AT1G31810,actin binding
BraA09g31790R,AT1G31812,ACBP6 (acyl-CoA-binding protein 6); acyl-CoA binding / phosphatidylcholine binding
BraA09g31780R,AT1G31814,FRL2 (FRIGIDA LIKE 2)
BraA09g31770R,AT1G31817,NFD3 (NUCLEAR FUSION DEFECTIVE 3); structural constituent of ribosome
BraA09g31760R,AT1G31820,amino acid permease family protein
BraA09g31750R,AT1G31830,amino acid permease family protein
BraA09g31730R,NS,NA
BraA09g31720R,NS,NA
BraA09g31710R,AT1G31850,dehydration-responsive protein putative
BraA09g31690R,NS,NA
BraA09g31670R,AT1G31860,AT-IE; phosphoribosyl-AMP cyclohydrolase/ phosphoribosyl-ATP diphosphatase
BraA09g31660R,NS,NA
BraA09g31650R,AT1G31880,BRX (BREVIS RADIX); identical protein binding / water channel
BraA09g31640R,AT1G31930,XLG3 (extra-large GTP-binding protein 3); guanyl nucleotide binding / signal transducer
BraA09g31630R,NS,NA
BraA09g31620R,NS,NA
BraA09g31610R,NS,NA
BraA09g31590R,NS,NA
BraA09g31580R,AT1G32220,binding / catalytic/ coenzyme binding
BraA09g31570R,AT1G32210,ATDAD1 (DEFENDER AGAINST APOPTOTIC DEATH 1)
BraA09g31560R,AT1G32200,ATS1; glycerol-3-phosphate O-acyltransferase
BraA09g31550R,AT1G32190,unknown protein
BraA09g31540R,NS,NA
BraA09g31530R,NS,NA
BraA09g31500R,NS,NA
BraA09g31490R,AT1G32430,F-box family protein
BraA09g31460R,AT1G32030,DNA binding
BraA09g31450R,AT1G31970,STRS1 (STRESS RESPONSE SUPPRESSOR 1); ATP binding / ATP-dependent helicase/ helicase/ nucleic acid binding
BraA09g31440R,AT1G31940,unknown protein
BraA09g31430R,NS,NA
BraA09g31420R,AT1G32230,RCD1 (RADICAL-INDUCED CELL DEATH1); protein binding
BraA09g31410R,NS,NA
BraA09g31400R,NS,NA
BraA09g31390R,NS,NA
BraA09g31380R,NS,NA
BraA09g31360R,AT1G32240,KAN2 (KANADI 2); DNA binding / transcription factor
BraA09g31350R,AT1G32250,calmodulin putative
BraA09g31340R,AT1G32260,unknown protein
BraA09g31330R,AT1G32270,ATSYP24; SNAP receptor/ protein binding
BraA09g31320R,AT1G32320,ATMKK10; MAP kinase kinase/ kinase
BraA09g31310R,AT1G32330,ATHSFA1D; DNA binding / transcription factor
BraA09g31300R,NS,NA
BraA09g31280R,NS,NA
BraA09g31270R,AT1G32360,zinc finger (CCCH-type) family protein
BraA09g31260R,AT1G32361,ATL1F; protein binding / zinc ion binding
BraA09g31250R,AT1G32370,TOM2B (TOBAMOVIRUS MULTIPLICATION 2B)
BraA09g31240R,AT1G32380,ribose-phosphate pyrophosphokinase 2 / phosphoribosyl diphosphate synthetase 2 (PRS2)
BraA09g31230R,AT1G32400,TOM2A (TOBAMOVIRUS MULTIPLICATION 2A); protein binding
BraA09g31220R,AT1G32410,vacuolar protein sorting 55 family protein / VPS55 family protein
BraA09g31210R,AT1G32415,pentatricopeptide (PPR) repeat-containing protein
BraA09g31200R,AT1G32415,pentatricopeptide (PPR) repeat-containing protein
BraA09g31190R,NS,NA
BraA09g31180R,NS,NA
BraA09g31170R,AT1G32470,glycine cleavage system H protein mitochondrial putative
BraA09g31160R,AT1G32470,glycine cleavage system H protein mitochondrial putative
BraA09g31150R,AT1G32480,oxidoreductase/ oxidoreductase acting on the CH-OH group of donors NAD or NADP as acceptor
BraA09g31140R,AT1G32480,oxidoreductase/ oxidoreductase acting on the CH-OH group of donors NAD or NADP as acceptor
BraA09g31110R,AT1G32530,zinc finger (C3HC4-type RING finger) family protein
BraA09g31100R,AT1G32550,ferredoxin family protein
BraA09g31090R,AT1G32560,late embryogenesis abundant group 1 domain-containing protein / LEA group 1 domain-containing protein
BraA09g31080R,NS,NA
BraA09g31070R,NS,NA
BraA09g31060R,NS,NA
BraA09g31050R,NS,NA
BraA09g31040R,AT1G32700,zinc-binding family protein
BraA09g31020R,AT1G32760,glutaredoxin family protein
BraA09g31010R,NS,NA
BraA09g31000R,NS,NA
BraA09g30990R,AT1G32770,ANAC012 (ARABIDOPSIS NAC DOMAIN CONTAINING PROTEIN 12); specific transcriptional repressor/ transcription activator/ transcription factor
BraA09g30980R,NS,NA
BraA09g30970R,NS,NA
BraA09g30960R,AT1G32780,alcohol dehydrogenase putative
BraA09g30950R,AT1G32790,RNA-binding protein putative
BraA09g30940R,AT1G32850,UBP11 (UBIQUITIN-SPECIFIC PROTEASE 11); cysteine-type endopeptidase/ ubiquitin thiolesterase
BraA09g30930R,AT1G32850,UBP11 (UBIQUITIN-SPECIFIC PROTEASE 11); cysteine-type endopeptidase/ ubiquitin thiolesterase
BraA09g30920R,AT1G32920,unknown protein
BraA09g30910R,AT1G32928,unknown protein
BraA09g30900R,AT1G32930,galactosyltransferase family protein
BraA09g30890R,NS,NA
BraA09g30880R,AT1G32940,SBT3.5; identical protein binding / serine-type endopeptidase
BraA09g30870R,NS,NA
BraA09g30860R,AT1G32950,subtilase family protein
BraA09g30850R,NS,NA
BraA09g30840R,AT1G32990,PRPL11 (PLASTID RIBOSOMAL PROTEIN L11); structural constituent of ribosome
BraA09g30830R,NS,NA
BraA09g30820R,NS,NA
BraA09g30810R,NS,NA
BraA09g30780R,NS,NA
BraA09g30770R,NS,NA
BraA09g30760R,AT1G33080,MATE efflux family protein
BraA09g30750R,AT1G33080,MATE efflux family protein
BraA09g30740R,AT1G33110,MATE efflux family protein
BraA09g30730R,AT1G33120,60S ribosomal protein L9 (RPL90B)
BraA09g30710R,AT1G33170,dehydration-responsive family protein
BraA09g30700R,NS,NA
BraA09g30690R,AT1G33230,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: integral to membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: TMPIT-like (InterPro:IPR012926); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G10430.3); Has 198 Blast hits to 198 proteins in 60 species: Archae - 0; Bacteria - 0; Metazoa - 148; Fungi - 0; Plants - 40; Viruses - 0; Other Eukaryotes - 10 (source: NCBI BLink).
BraA09g30680R,AT1G33240,AT-GTL1 (GT2-LIKE 1); DNA binding / transcription factor
BraA09g30670R,AT1G33250,fringe-related protein
BraA09g30660R,AT1G33260,protein kinase family protein
BraA09g30640R,NA,NA
BraA09g30630R,NS,NA
BraA09g30620R,NS,NA
BraA09g30610R,NS,NA
BraA09g30600R,NS,NA
BraA09g30590R,NA,NA
BraA09g30580R,AT1G33270,patatin-related
BraA09g30570R,AT1G33265,unknown protein
BraA09g30560R,NS,NA
BraA09g30550R,NS,NA
BraA09g30540R,NS,NA
BraA09g30530R,AT1G33290,sporulation protein-related
BraA09g30520R,AT1G37113,unknown protein
BraA09g30480R,NS,NA
BraA09g30460R,AT1G33350,pentatricopeptide (PPR) repeat-containing protein
BraA09g30450R,AT1G33350,pentatricopeptide (PPR) repeat-containing protein
BraA09g30440R,AT1G33340,epsin N-terminal homology (ENTH) domain-containing protein / clathrin assembly protein-related
BraA09g30430R,AT1G33330,peptide chain release factor putative
BraA09g30420R,NS,NA
BraA09g30410R,AT1G33440,proton-dependent oligopeptide transport (POT) family protein
BraA09g30400R,NS,NA
BraA09g30390R,NS,NA
BraA09g30380R,AT1G33475,INVOLVED IN: transport vesicle-mediated transport; LOCATED IN: integral to membrane; EXPRESSED IN: inflorescence meristem male gametophyte sepal carpel petiole; EXPRESSED DURING: 4 anthesis; CONTAINS InterPro DOMAIN/s: Longin (InterPro:IPR010908) Longin-like (InterPro:IPR011012); BEST Arabidopsis thaliana protein match is: synaptobrevin-related family protein (TAIR:AT4G10170.2); Has 148 Blast hits to 148 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 148; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).
BraA09g30370R,AT1G33480,protein binding / zinc ion binding
BraA09g30360R,AT1G33590,disease resistance protein-related / LRR protein-related
BraA09g30350R,AT1G33700,catalytic/ glucosylceramidase
BraA09g30340R,AT1G33700,catalytic/ glucosylceramidase
BraA09g30330R,NS,NA
BraA09g30320R,AT1G33760,AP2 domain-containing transcription factor putative
BraA09g30310R,NS,NA
BraA09g30300R,NS,NA
BraA09g30290R,NS,NA
BraA09g30280R,AT1G33770,protein kinase family protein
BraA09g30270R,AT1G33770,protein kinase family protein
BraA09g30260R,AT1G33800,unknown protein
BraA09g30250R,AT1G33800,unknown protein
BraA09g30240R,NS,NA
BraA09g30230R,NS,NA
BraA09g30220R,AT1G33970,avirulence-responsive protein putative / avirulence induced gene protein putative / AIG protein putative
BraA09g30210R,AT1G33970,avirulence-responsive protein putative / avirulence induced gene protein putative / AIG protein putative
BraA09g30200R,AT1G33980,Smg-4/UPF3 family protein
BraA09g30190R,NS,NA
BraA09g30180R,NS,NA
BraA09g30170R,NS,NA
BraA09g30160R,NS,NA
BraA09g30130R,NS,NA
BraA09g30110R,AT1G33990,MES14 (METHYL ESTERASE 14); hydrolase
BraA09g30100R,AT1G33990,MES14 (METHYL ESTERASE 14); hydrolase
BraA09g30090R,AT1G34020,transporter-related
BraA09g30080R,NS,NA
BraA09g30070R,AT1G34030,40S ribosomal protein S18 (RPS18B)
BraA09g30060R,NS,NA
BraA09g30050R,AT1G34040,alliinase family protein
BraA09g30040R,AT1G34065,SAMC2 (S-adenosylmethionine carrier 2); binding
BraA09g30020R,NS,NA
BraA09g30010R,AT1G34130,STT3B (staurosporin and temperature sensitive 3-like b); oligosaccharyl transferase
BraA09g29990R,AT1G34160,pentatricopeptide (PPR) repeat-containing protein
BraA09g29980R,NA,NA
BraA09g29970R,AT1G34190,anac017 (Arabidopsis NAC domain containing protein 17); transcription factor
BraA09g29960R,AT1G34200,oxidoreductase family protein
BraA09g29940R,AT1G34220,unknown protein
BraA09g29930R,NS,NA
BraA09g29920R,NS,NA
BraA09g29910R,NS,NA
BraA09g29900R,NS,NA
BraA09g29890R,NS,NA
BraA09g29880R,AT1G34245,Encodes a secretory peptide EPF2 expressed in proliferating cells of the stomatal lineage known as meristemoids and in guard mother cells the progenitors of stomata.  Controls asymmetric cell divisions during stomatal development.  EPF2 is related to EPF1 also involved in stomatal development.
BraA09g29870R,AT1G34260,phosphatidylinositol-4-phosphate 5-kinase family protein
BraA09g29860R,AT1G34270,exostosin family protein
BraA09g29850R,AT1G34300,lectin protein kinase family protein
BraA09g29840R,NS,NA
BraA09g29830R,AT1G34320,unknown protein
BraA09g29820R,AT1G34340,esterase/lipase/thioesterase family protein
BraA09g29810R,AT1G34350,unknown protein
BraA09g29800R,AT1G34355,forkhead-associated domain-containing protein / FHA domain-containing protein
BraA09g29790R,NS,NA
BraA09g29780R,AT1G34370,STOP1 (sensitive to proton rhizotoxicity 1); nucleic acid binding / transcription factor/ zinc ion binding
BraA09g29770R,AT1G34370,STOP1 (sensitive to proton rhizotoxicity 1); nucleic acid binding / transcription factor/ zinc ion binding
BraA09g29760R,AT1G34380,5'-3' exonuclease family protein
BraA09g29750R,NS,NA
BraA09g29740R,NS,NA
BraA09g29730R,NS,NA
BraA09g29720R,NS,NA
BraA09g29710R,AT1G34420,leucine-rich repeat family protein / protein kinase family protein
BraA09g29700R,AT1G34430,EMB3003 (embryo defective 3003); acyltransferase/ dihydrolipoyllysine-residue acetyltransferase/ protein binding
BraA09g29690R,AT1G34550,EMB2756 (EMBRYO DEFECTIVE 2756)
BraA09g29680R,AT1G34570,unknown protein
BraA09g29670R,NS,NA
BraA09g29660R,AT1G34630,unknown protein
BraA09g29650R,NS,NA
BraA09g29640R,NS,NA
BraA09g29630R,NS,NA
BraA09g29620R,NS,NA
BraA09g29610R,AT1G34670,AtMYB93 (myb domain protein 93); DNA binding / transcription factor
BraA09g29600R,AT1G34750,protein phosphatase 2C putative / PP2C putative
BraA09g29590R,NS,NA
BraA09g29580R,AT1G34790,TT1 (transparent testa 1); transcription factor
BraA09g29570R,NS,NA
BraA09g29560R,NS,NA
BraA09g29550R,NS,NA
BraA09g29540R,AT1G35140,PHI-1 (PHOSPHATE-INDUCED 1)
BraA09g29530R,AT1G35140,PHI-1 (PHOSPHATE-INDUCED 1)
BraA09g29520R,NS,NA
BraA09g29510R,NS,NA
BraA09g29500R,NS,NA
BraA09g29490R,NS,NA
BraA09g29480R,NS,NA
BraA09g29470R,NS,NA
BraA09g29460R,NS,NA
BraA09g29450R,NS,NA
BraA09g29440R,AT1G35160,GF14 PHI (GF14 PROTEIN PHI CHAIN); protein binding / protein phosphorylated amino acid binding
BraA09g29430R,NS,NA
BraA09g29420R,NS,NA
BraA09g29410R,AT1G35340,ATP-dependent protease La (LON) domain-containing protein
BraA09g29400R,NS,NA
BraA09g29390R,AT1G35330,zinc finger (C3HC4-type RING finger) family protein
BraA09g29380R,NS,NA
BraA09g29370R,NS,NA
BraA09g29360R,NS,NA
BraA09g29350R,AT1G35420,dienelactone hydrolase family protein
BraA09g29340R,NS,NA
BraA09g29330R,NS,NA
BraA09g29320R,NS,NA
BraA09g29310R,NS,NA
BraA09g29300R,NS,NA
BraA09g29290R,NS,NA
BraA09g29280R,NS,NA
BraA09g29270R,NS,NA
BraA09g29260R,NS,NA
BraA09g29250R,NS,NA
BraA09g29240R,AT1G35430,unknown protein
BraA09g29230R,NS,NA
BraA09g29220R,NS,NA
BraA09g29210R,AT1G35470,SPla/RYanodine receptor (SPRY) domain-containing protein
BraA09g29200R,NS,NA
BraA09g29190R,AT1G35460,basic helix-loop-helix (bHLH) family protein
BraA09g29180R,NA,NA
BraA09g29170R,NA,NA
BraA09g29160R,NS,NA
BraA09g29150R,NS,NA
BraA09g29140R,NS,NA
BraA09g29130R,NS,NA
BraA09g29120R,AT1G35510,unknown protein
BraA09g29110R,AT1G35720,ANNAT1 (ANNEXIN ARABIDOPSIS 1); ATP binding / calcium ion binding / calcium-dependent phospholipid binding / copper ion binding / peroxidase/ protein homodimerization
BraA09g29100R,AT1G36730,eukaryotic translation initiation factor 5 putative / eIF-5 putative
BraA09g29090R,NS,NA
BraA09g29080R,NS,NA
BraA09g29070R,NS,NA
BraA09g29060R,NS,NA
BraA09g29050R,NS,NA
BraA09g29040R,NS,NA
BraA09g29030R,NS,NA
BraA09g29020R,NS,NA
BraA09g29010R,NS,NA
BraA09g29000R,NS,NA
BraA09g28990R,AT5G42955,unknown protein
BraA09g28980R,AT5G34887,unknown protein
BraA09g28970R,AT5G34887,unknown protein
BraA09g28960R,NS,NA
BraA09g28950R,NS,NA
BraA09g28940R,NS,NA
BraA09g28930R,AT4G09760,choline kinase putative
BraA09g28920R,AT4G09760,choline kinase putative
BraA09g28910R,AT4G09730,DEAD/DEAH box helicase putative
BraA09g28900R,NS,NA
BraA09g28890R,NS,NA
BraA09g28880R,NS,NA
BraA09g28870R,AT4G09720,Ras-related GTP-binding protein putative
BraA09g28860R,NS,NA
BraA09g28850R,NS,NA
BraA09g28840R,NS,NA
BraA09g28830R,AT4G09680,unknown protein
BraA09g28820R,AT4G09650,ATPD (ATP SYNTHASE DELTA-SUBUNIT GENE); hydrogen ion transporting ATP synthase rotational mechanism / proton-transporting ATPase rotational mechanism
BraA09g28800R,NS,NA
BraA09g28790R,NS,NA
BraA09g28780R,NS,NA
BraA09g28760R,NS,NA
BraA09g28750R,AT4G09580,INVOLVED IN: biological_process unknown; LOCATED IN: endoplasmic reticulum; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: SNARE associated Golgi protein (InterPro:IPR015414); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G71940.1); Has 2023 Blast hits to 2023 proteins in 496 species: Archae - 2; Bacteria - 1014; Metazoa - 198; Fungi - 27; Plants - 131; Viruses - 0; Other Eukaryotes - 651 (source: NCBI BLink).
BraA09g28740R,AT4G09350,DNAJ heat shock N-terminal domain-containing protein
BraA09g28730R,NS,NA
BraA09g28720R,AT4G09150,T-complex protein 11
BraA09g28710R,AT4G09100,zinc finger (C3HC4-type RING finger) family protein
BraA09g28700R,NS,NA
BraA09g28690R,AT4G09060,unknown protein
BraA09g28680R,AT4G09040,RNA recognition motif (RRM)-containing protein
BraA09g28670R,NS,NA
BraA09g28660R,AT4G09012,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; BEST Arabidopsis thaliana protein match is: 60S ribosomal protein-related (TAIR:AT5G40080.1); Has 124 Blast hits to 124 proteins in 48 species: Archae - 0; Bacteria - 0; Metazoa - 65; Fungi - 23; Plants - 25; Viruses - 0; Other Eukaryotes - 11 (source: NCBI BLink).
BraA09g28650R,NS,NA
BraA09g28640R,NS,NA
BraA09g28630R,AT4G09030,AGP10 (ARABINOGALACTAN PROTEIN 10)
BraA09g28620R,AT4G09030,AGP10 (ARABINOGALACTAN PROTEIN 10)
BraA09g28610R,NS,NA
BraA09g28600R,NS,NA
BraA09g28590R,AT4G08940,ubiquitin thiolesterase
BraA09g28580R,NS,NA
BraA09g28570R,AT4G08920,CRY1 (CRYPTOCHROME 1); ATP binding / blue light photoreceptor/ protein homodimerization/ protein kinase
BraA09g28560R,NS,NA
BraA09g28550R,NS,NA
BraA09g28540R,NS,NA
BraA09g28530R,NS,NA
BraA09g28520R,AT4G08790,nitrilase putative
BraA09g28510R,AT4G08770,peroxidase putative
BraA09g28500R,AT4G08700,ATPUP13; purine transmembrane transporter
BraA09g28490R,NS,NA
BraA09g28480R,NS,NA
BraA09g28470R,NA,NA
BraA09g28460R,NS,NA
BraA09g28450R,NS,NA
BraA09g28440R,NS,NA
BraA09g28430R,AT4G08670,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
BraA09g28420R,NS,NA
BraA09g28410R,NS,NA
BraA09g28400R,NS,NA
BraA09g28390R,NS,NA
BraA09g28380R,NA,NA
BraA09g28370R,NA,NA
BraA09g28360R,AT4G08570,heavy-metal-associated domain-containing protein / copper chaperone (CCH)-related
BraA09g28350R,NA,NA
BraA09g28340R,NA,NA
BraA09g28330R,NA,NA
BraA09g28320R,AT4G08570,heavy-metal-associated domain-containing protein / copper chaperone (CCH)-related
BraA09g28310R,NA,NA
BraA09g28300R,NS,NA
BraA09g28290R,AT4G08550,electron carrier/ protein disulfide oxidoreductase
BraA09g28280R,AT4G08540,unknown protein
BraA09g28270R,AT4G08540,unknown protein
BraA09g28260R,AT4G08520,clathrin adaptor complex small chain family protein
BraA09g28250R,NS,NA
BraA09g28240R,AT4G08500,MEKK1 (MAP KINASE KINASE KINASE 1); DNA binding / MAP kinase kinase kinase/ kinase/ kinase binding / protein binding
BraA09g28230R,AT4G08390,SAPX (STROMAL ASCORBATE PEROXIDASE); L-ascorbate peroxidase
BraA09g28220R,AT4G08350,GTA2 (GLOBAL TRANSCRIPTION FACTOR GROUP A2); structural constituent of ribosome / transcription elongation regulator/ transcription factor
BraA09g28210R,AT4G08350,GTA2 (GLOBAL TRANSCRIPTION FACTOR GROUP A2); structural constituent of ribosome / transcription elongation regulator/ transcription factor
BraA09g28200R,NS,NA
BraA09g28190R,NS,NA
BraA09g28180R,NS,NA
BraA09g28170R,NS,NA
BraA09g28160R,AT4G08300,nodulin MtN21 family protein
BraA09g28150R,NS,NA
BraA09g28140R,NS,NA
BraA09g28130R,NS,NA
BraA09g28120R,NS,NA
BraA09g28110R,AT4G09800,RPS18C (S18 RIBOSOMAL PROTEIN); RNA binding / nucleic acid binding / structural constituent of ribosome
BraA09g28100R,AT4G09820,TT8 (TRANSPARENT TESTA 8); DNA binding / transcription factor
BraA09g28090R,AT4G09830,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised conserved protein UCP009193 (InterPro:IPR016549); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G64780.1); Has 56 Blast hits to 56 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 56; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).
BraA09g28080R,AT4G09890,unknown protein
BraA09g28070R,NS,NA
BraA09g28060R,AT4G09900,MES12 (METHYL ESTERASE 12); hydrolase
BraA09g28050R,NS,NA
BraA09g28030R,NS,NA
BraA09g28020R,AT4G09950,avirulence-responsive family protein / avirulence induced gene (AIG1) family protein
BraA09g28010R,AT4G09950,avirulence-responsive family protein / avirulence induced gene (AIG1) family protein
BraA09g28000R,NA,NA
BraA09g27990R,NS,NA
BraA09g27980R,NS,NA
BraA09g27970R,NS,NA
BraA09g27960R,AT4G09980,EMB1691 (EMBRYO DEFECTIVE 1691); S-adenosylmethionine-dependent methyltransferase/ methyltransferase/ nucleic acid binding
BraA09g27950R,NS,NA
BraA09g27940R,NS,NA
BraA09g27920R,NS,NA
BraA09g27910R,NS,NA
BraA09g27900R,NS,NA
BraA09g27890R,NS,NA
BraA09g27880R,AT4G10010,protein kinase family protein
BraA09g27870R,AT4G10040,CYTC-2 (cytochrome c-2); electron carrier/ heme binding / iron ion binding
BraA09g27860R,NS,NA
BraA09g27850R,NS,NA
BraA09g27840R,AT4G10090,unknown protein
BraA09g27830R,AT4G10080,unknown protein
BraA09g27810R,NS,NA
BraA09g27800R,NS,NA
BraA09g27790R,AT4G10100,CNX7; catalytic
BraA09g27770R,AT4G10110,RNA recognition motif (RRM)-containing protein
BraA09g27760R,AT4G10130,DNAJ heat shock N-terminal domain-containing protein
BraA09g27750R,AT4G10140,unknown protein
BraA09g27740R,AT4G10240,zinc finger (B-box type) family protein
BraA09g27730R,NS,NA
BraA09g27720R,NS,NA
BraA09g27710R,NS,NA
BraA09g27700R,AT4G10310,HKT1 (HIGH-AFFINITY K+ TRANSPORTER 1); sodium ion transmembrane transporter
BraA09g27690R,AT4G10310,HKT1 (HIGH-AFFINITY K+ TRANSPORTER 1); sodium ion transmembrane transporter
BraA09g27680R,NS,NA
BraA09g27670R,NS,NA
BraA09g27660R,NS,NA
BraA09g27650R,AT4G10340,LHCB5 (LIGHT HARVESTING COMPLEX OF PHOTOSYSTEM II 5); chlorophyll binding
BraA09g27640R,AT4G10350,ANAC070 (Arabidopsis NAC domain containing protein 70); transcription factor
BraA09g27630R,AT4G10360,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: integral to membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: TRAM LAG1 and CLN8 homology (InterPro:IPR006634); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G31300.2); Has 453 Blast hits to 451 proteins in 101 species: Archae - 0; Bacteria - 0; Metazoa - 225; Fungi - 97; Plants - 91; Viruses - 3; Other Eukaryotes - 37 (source: NCBI BLink).
BraA09g27620R,AT4G10440,dehydration-responsive family protein
BraA09g27610R,AT4G10450,60S ribosomal protein L9 (RPL90D)
BraA09g27600R,AT4G10465,metal ion binding
BraA09g27590R,AT4G10480,nascent polypeptide associated complex alpha chain protein putative / alpha-NAC putative
BraA09g27580R,AT4G10490,oxidoreductase 2OG-Fe(II) oxygenase family protein
BraA09g27570R,NS,NA
BraA09g27560R,AT4G10600,PHD finger family protein
BraA09g27550R,AT4G10610,CID12; RNA binding
BraA09g27540R,AT4G10620,INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: GTP binding (TAIR:AT3G57180.1); Has 777 Blast hits to 699 proteins in 334 species: Archae - 15; Bacteria - 397; Metazoa - 157; Fungi - 74; Plants - 61; Viruses - 0; Other Eukaryotes - 73 (source: NCBI BLink).
BraA09g27530R,NS,NA
BraA09g27520R,AT4G10650,GTP binding
BraA09g27500R,NS,NA
BraA09g27490R,NS,NA
BraA09g27460R,AT4G10710,SPT16 (global transcription factor C)
BraA09g27450R,NS,NA
BraA09g27440R,AT4G10720,ankyrin repeat family protein
BraA09g27430R,AT4G10730,ATP binding / kinase/ protein kinase/ protein serine/threonine kinase/ protein tyrosine kinase
BraA09g27420R,AT4G10750,HpcH/HpaI aldolase family protein
BraA09g27410R,AT4G10760,MTA (MRNA ADENOSINE METHYLASE); S-adenosylmethionine-dependent methyltransferase/ methyltransferase
BraA09g27400R,AT4G10770,OPT7 (OLIGOPEPTIDE TRANSPORTER 7); oligopeptide transporter
BraA09g27380R,AT4G10790,UBX domain-containing protein
BraA09g27360R,NS,NA
BraA09g27350R,NS,NA
BraA09g27340R,NS,NA
BraA09g27330R,AT4G10800,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 6 plant structures; EXPRESSED DURING: 4 anthesis C globular stage petal differentiation and expansion stage D bilateral stage E expanded cotyledon stage; BEST Arabidopsis thaliana protein match is: protein binding (TAIR:AT3G05675.2); Has 114 Blast hits to 114 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 114; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).
BraA09g27320R,AT4G10810,unknown protein
BraA09g27300R,AT4G10850,nodulin MtN3 family protein
BraA09g27290R,AT4G10890,unknown protein
BraA09g27280R,NA,NA
BraA09g27270R,AT4G10925,F-box family protein
BraA09g27260R,AT4G10950,GDSL-motif lipase/hydrolase family protein
BraA09g27250R,AT4G10955,lipase class 3 family protein
BraA09g27240R,AT4G10960,UGE5 (UDP-D-glucose/UDP-D-galactose 4-epimerase 5); UDP-glucose 4-epimerase/ protein dimerization
BraA09g27230R,NS,NA
BraA09g27220R,NS,NA
BraA09g27210R,AT4G11010,NDPK3 (NUCLEOSIDE DIPHOSPHATE KINASE 3); ATP binding / nucleoside diphosphate kinase
BraA09g27200R,AT4G11030,long-chain-fatty-acid--CoA ligase putative / long-chain acyl-CoA synthetase putative
BraA09g27190R,AT4G11040,protein phosphatase 2C putative / PP2C putative
BraA09g27180R,AT4G11080,high mobility group (HMG1/2) family protein
BraA09g27170R,AT4G11090,unknown protein
BraA09g27150R,AT4G11110,SPA2 (SPA1-RELATED 2); protein binding / signal transducer
BraA09g27140R,AT4G11120,translation elongation factor Ts (EF-Ts) putative
BraA09g27130R,NS,NA
BraA09g27120R,NS,NA
BraA09g27110R,AT4G11130,RDR2 (RNA-DEPENDENT RNA POLYMERASE 2); RNA-directed RNA polymerase
BraA09g27100R,AT4G11150,TUF (VACUOLAR ATP SYNTHASE SUBUNIT E1); proton-transporting ATPase rotational mechanism
BraA09g27090R,AT4G11175,translation initiation factor IF-1 chloroplast putative
BraA09g27070R,NS,NA
BraA09g27060R,NS,NA
BraA09g27040R,NS,NA
BraA09g27030R,AT4G11180,disease resistance-responsive family protein / dirigent family protein
BraA09g27020R,NS,NA
BraA09g27000R,NS,NA
BraA09g26990R,AT4G11220,BTI2 (VIRB2-INTERACTING PROTEIN 2)
